customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,default_flag
100001,61.0,Male,East,Secondary,Salaried,417788.81,477130.66,Home,389.0,0
100002,22.0,Male,South,Graduate,Salaried,641303.35,642665.38,Other,729.0,1
100003,38.0,Female,North,Graduate,Salaried,1160465.4,519796.55,Education,520.0,0
100004,27.0,Male,North,Secondary,Salaried,793688.41,99556.65,Business,770.0,0
100005,26.0,Female,East,Graduate,Self-Employed,286312.57,8988800.09,Car,596.0,0
100006,27.0,Male,West,Graduate,Salaried,1038819.84,365984.74,Home,573.0,0
100007,59.0,Female,South,Secondary,Salaried,2475694.17,,Home,524.0,0
100008,35.0,Female,East,Secondary,Salaried,2298475.81,1977115.44,Business,622.0,0
100009,46.0,Female,West,Secondary,,1908374.44,1565906.86,Business,738.0,0
100010,44.0,,South,Graduate,Salaried,289309.99,92101.43,Business,463.0,0
100011,59.0,Male,West,Graduate,Salaried,763280.76,655738.73,Home,311.0,0
100012,64.0,Female,East,Graduate,Salaried,860920.3,246333.94,Education,303.0,0
100013,53.0,Female,North,Post-Graduate,Salaried,1662362.83,1538045.66,Car,456.0,0
100014,55.0,Female,North,Graduate,Salaried,439533.12,271164.07,Car,614.0,0
100015,57.0,Female,North,Graduate,Self-Employed,2448924.03,1980200.1,Business,428.0,1
100016,56.0,Male,West,Post-Graduate,Unemployed,1932215.26,2014965.77,Education,619.0,1
100017,49.0,Female,West,Secondary,Salaried,964358.5,871595.33,Home,535.0,0
100018,25.0,Female,North,Secondary,Unemployed,2174354.13,277560.59,Business,543.0,1
100019,34.0,Female,West,Secondary,Salaried,1124379.11,204370.64,Business,741.0,0
100020,50.0,Female,North,Graduate,Unemployed,408329.46,276472.13,Home,647.0,0
100021,36.0,Male,West,Secondary,Salaried,1253297.12,1650261.79,Other,377.0,1
100022,27.0,Male,North,Post-Graduate,Unemployed,2148974.1,577781.85,Business,,0
100023,24.0,Male,North,Post-Graduate,Salaried,1999043.8,,Other,733.0,0
100024,63.0,Female,South,Secondary,Salaried,315681.24,361600.78,Home,362.0,0
100025,24.0,Female,South,Primary,Salaried,2155114.71,268080.93,Car,369.0,0
100026,46.0,Male,South,Graduate,Salaried,370201.5,382172.14,Education,835.0,0
100027,34.0,Female,East,Secondary,,1738321.32,817237.13,Home,623.0,0
100028,21.0,Male,North,Primary,Salaried,795264.96,1116619.75,Education,370.0,0
100029,39.0,Male,East,Graduate,Unemployed,1697225.06,69525.2,Home,606.0,0
100030,29.0,Male,North,Graduate,Salaried,833674.55,302863.39,Education,651.0,0
100031,53.0,Male,North,Primary,Salaried,821898.12,54194.01,Education,,0
100032,31.0,Female,West,Graduate,Salaried,2372518.18,2474633.95,Education,452.0,0
100033,58.0,Female,West,Secondary,Salaried,2265637.05,2715780.17,Car,340.0,0
100034,64.0,Male,North,Secondary,Salaried,2209333.52,3228604.31,Car,458.0,0
100035,31.0,Female,South,Post-Graduate,Salaried,1888829.57,,Car,721.0,0
100036,38.0,Male,North,Secondary,Salaried,1272000.85,420806.57,Car,771.0,0
100037,35.0,Male,South,Secondary,Salaried,341056.15,406955.38,Business,659.0,0
100038,64.0,Other,East,Post-Graduate,Salaried,,692307.39,Other,571.0,1
100039,48.0,Male,East,Secondary,Unemployed,,609894.32,Business,494.0,1
100040,21.0,Female,South,Secondary,,1721031.43,885916.96,Home,621.0,0
100041,40.0,Female,West,Secondary,Self-Employed,1466236.95,462332.54,Car,688.0,0
100042,60.0,Female,West,Graduate,Salaried,845639.82,573801.4,Business,629.0,0
100043,64.0,Male,West,Graduate,Unemployed,1887430.55,1882360.0,Other,590.0,0
100044,42.0,Male,South,Graduate,Salaried,641981.44,72299.7,Other,550.0,0
100045,25.0,Male,South,Graduate,Salaried,1107194.64,287706.74,Home,305.0,0
100046,48.0,Male,West,Primary,Salaried,2148140.33,1497992.99,Other,775.0,0
100047,59.0,Male,West,Graduate,Self-Employed,1351085.34,1691726.29,Business,756.0,0
100048,49.0,,South,Graduate,Salaried,1984205.62,1468080.34,Home,544.0,0
100049,39.0,Male,East,Secondary,Salaried,501027.82,212239.58,Home,456.0,0
100050,47.0,Male,West,Secondary,Salaried,1154732.96,1572028.3,Other,320.0,0
100051,45.0,Male,East,Secondary,Salaried,2248608.38,2827053.31,Education,525.0,0
100052,48.0,Male,West,Secondary,Self-Employed,1118014.67,318531.41,Other,778.0,0
100053,55.0,Male,West,Graduate,Self-Employed,14886707.45,269508.53,Education,,0
100054,45.0,Male,West,Secondary,Self-Employed,1059572.82,1207613.26,Home,731.0,0
100055,51.0,Male,North,Post-Graduate,Salaried,1688334.3,1989412.18,Car,341.0,0
100056,33.0,Female,South,Secondary,Salaried,445383.51,635785.17,Education,776.0,0
100057,31.0,,North,Graduate,Salaried,901610.29,803687.93,Business,619.0,0
100058,46.0,Female,South,Primary,Self-Employed,1635202.36,294848.82,Other,608.0,0
100059,28.0,Female,North,Secondary,Salaried,1039724.43,813791.65,Business,649.0,1
100060,,Male,East,Graduate,Self-Employed,1820956.05,1217730.07,Education,,0
100061,60.0,Female,West,Graduate,Self-Employed,1554541.12,,Home,551.0,0
100062,38.0,Female,South,Graduate,Salaried,1730197.25,906228.93,Car,806.0,0
100063,52.0,Male,East,Secondary,Self-Employed,1806746.3,784907.41,Car,310.0,0
100064,26.0,Male,West,Graduate,Self-Employed,1782213.67,1744410.32,Home,,0
100065,26.0,Male,West,Graduate,Salaried,1529208.96,1111908.25,Other,843.0,0
100066,42.0,Male,West,Secondary,Salaried,459921.65,173231.31,Car,422.0,0
100067,33.0,,West,Secondary,Salaried,1943682.32,1760117.88,Education,402.0,0
100068,35.0,Male,East,Primary,Salaried,816402.28,1194410.16,Car,599.0,0
100069,61.0,Female,West,Secondary,Salaried,839667.24,629005.25,Home,648.0,0
100070,37.0,Female,West,Secondary,Salaried,1320852.02,1164388.28,Other,354.0,1
100071,40.0,,South,Secondary,Self-Employed,,1892414.61,Business,531.0,0
100072,49.0,Female,East,Post-Graduate,Unemployed,888482.17,846606.19,Car,401.0,0
100073,61.0,Male,North,Secondary,Salaried,354150.5,51287.63,Business,761.0,0
100074,39.0,Male,East,Graduate,Self-Employed,1233352.68,1287312.8,Other,570.0,0
100075,63.0,Female,South,Secondary,Salaried,1682512.56,2297199.93,Car,445.0,1
100076,40.0,Female,East,Secondary,Salaried,885491.56,564501.42,Business,578.0,0
100077,,Male,North,Post-Graduate,Self-Employed,1580615.65,110030.44,Other,534.0,0
100078,58.0,Female,East,Graduate,Self-Employed,,480565.48,Car,752.0,0
100079,58.0,Male,West,Post-Graduate,Salaried,1127367.58,576873.09,Education,407.0,0
100080,47.0,Female,East,Graduate,Salaried,1944359.47,155193.76,Education,390.0,0
